github.event.changes.new_discussion.title,arbitrary
github.event.changes.new_discussion.updated_at,fixed
github.event.changes.new_discussion.user.avatar_url,structured
github.event.changes.new_discussion.user.deleted,fixed
github.event.changes.new_discussion.user.email,arbitrary
github.event.changes.new_discussion.user.events_url,structured
github.event.changes.new_discussion.user.followers_url,structured
github.event.changes.new_discussion.user.following_url,structured
github.event.changes.new_discussion.user.gists_url,structured
github.event.changes.new_discussion.user.gravatar_id,arbitrary
github.event.changes.new_discussion.user.html_url,structured
github.event.changes.new_discussion.user.id,fixed
github.event.changes.new_discussion.user.login,arbitrary
github.event.changes.new_discussion.user.name,arbitrary
github.event.changes.new_discussion.user.node_id,arbitrary
github.event.changes.new_discussion.user.organizations_url,structured
github.event.changes.new_discussion.user.received_events_url,structured
github.event.changes.new_discussion.user.repos_url,structured
github.event.changes.new_discussion.user.site_admin,fixed
github.event.changes.new_discussion.user.starred_url,structured
github.event.changes.new_discussion.user.subscriptions_url,structured
github.event.changes.new_discussion.user.type,fixed
github.event.changes.new_discussion.user.url,structured
github.event.changes.new_discussion.user.user_view_type,arbitrary
github.event.changes.new_issue.active_lock_reason,fixed
github.event.changes.new_issue.assignee.avatar_url,structured
github.event.changes.new_issue.assignee.deleted,fixed
github.event.changes.new_issue.assignee.email,arbitrary
github.event.changes.new_issue.assignee.events_url,structured
github.event.changes.new_issue.assignee.followers_url,structured
github.event.changes.new_issue.assignee.following_url,structured
github.event.changes.new_issue.assignee.gists_url,structured
github.event.changes.new_issue.assignee.gravatar_id,arbitrary
github.event.changes.new_issue.assignee.html_url,structured
github.event.changes.new_issue.assignee.id,fixed
github.event.changes.new_issue.assignee.login,arbitrary
github.event.changes.new_issue.assignee.name,arbitrary
github.event.changes.new_issue.assignee.node_id,arbitrary
github.event.changes.new_issue.assignee.organizations_url,structured
github.event.changes.new_issue.assignee.received_events_url,structured
github.event.changes.new_issue.assignee.repos_url,structured
github.event.changes.new_issue.assignee.site_admin,fixed
github.event.changes.new_issue.assignee.starred_url,structured
github.event.changes.new_issue.assignee.subscriptions_url,structured
github.event.changes.new_issue.assignee.type,fixed
github.event.changes.new_issue.assignee.url,structured
github.event.changes.new_issue.assignee.user_view_type,arbitrary
github.event.changes.new_issue.assignees.*.avatar_url,structured
github.event.changes.new_issue.assignees.*.deleted,fixed
github.event.changes.new_issue.assignees.*.email,arbitrary
github.event.changes.new_issue.assignees.*.events_url,structured
github.event.changes.new_issue.assignees.*.followers_url,structured
github.event.changes.new_issue.assignees.*.following_url,structured
github.event.changes.new_issue.assignees.*.gists_url,structured
github.event.changes.new_issue.assignees.*.gravatar_id,arbitrary
github.event.changes.new_issue.assignees.*.html_url,structured
github.event.changes.new_issue.assignees.*.id,fixed
github.event.changes.new_issue.assignees.*.login,arbitrary
github.event.changes.new_issue.assignees.*.name,arbitrary
github.event.changes.new_issue.assignees.*.node_id,arbitrary
github.event.changes.new_issue.assignees.*.organizations_url,structured
github.event.changes.new_issue.assignees.*.received_events_url,structured
github.event.changes.new_issue.assignees.*.repos_url,structured
github.event.changes.new_issue.assignees.*.site_admin,fixed
github.event.changes.new_issue.assignees.*.starred_url,structured
github.event.changes.new_issue.assignees.*.subscriptions_url,structured
github.event.changes.new_issue.assignees.*.type,fixed
github.event.changes.new_issue.assignees.*.url,structured
github.event.changes.new_issue.assignees.*.user_view_type,arbitrary
github.event.changes.new_issue.author_association,fixed
github.event.changes.new_issue.body,arbitrary
github.event.changes.new_issue.closed_at,fixed
github.event.changes.new_issue.comments,fixed
github.event.changes.new_issue.comments_url,structured
github.event.changes.new_issue.created_at,fixed
github.event.changes.new_issue.draft,fixed
github.event.changes.new_issue.events_url,structured
github.event.changes.new_issue.html_url,structured
github.event.changes.new_issue.id,fixed
github.event.changes.new_issue.labels.*.color,arbitrary
github.event.changes.new_issue.labels.*.default,fixed
github.event.changes.new_issue.labels.*.description,arbitrary
github.event.changes.new_issue.labels.*.id,fixed
github.event.changes.new_issue.labels.*.name,arbitrary
github.event.changes.new_issue.labels.*.node_id,arbitrary
github.event.changes.new_issue.labels.*.url,structured
github.event.changes.new_issue.labels_url,structured
github.event.changes.new_issue.locked,fixed
github.event.changes.new_issue.milestone.closed_at,fixed
github.event.changes.new_issue.milestone.closed_issues,fixed
github.event.changes.new_issue.milestone.created_at,fixed
github.event.changes.new_issue.milestone.creator.avatar_url,structured
github.event.changes.new_issue.milestone.creator.deleted,fixed
github.event.changes.new_issue.milestone.creator.email,arbitrary
